target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_SCALED_SIMILARITY,ST,425,-0.1638943361416545,0.0006944022282543114,-0.25504105968604435,-0.06986063226364903,0.001509570061422416
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_SCALED_VOCABULARY,ST,425,0.01730220916118089,0.722087502528685,-0.07794891964296119,0.1122403178171198,0.7521744820705866
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_SCALED_INFORMATION,ST,425,-0.02708035262159949,0.5777094099869822,-0.12188920862293563,0.0682182124899414,0.6564879658942979
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_SCALED_SUM,ST,425,-0.05861818121033182,0.22784723781481026,-0.15288852357645524,0.03670934517140699,0.32549605402115755
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_NORM_SIMILARITY,ST,425,0.06442239326333062,0.18498300430846426,-0.03088973803925289,0.15857348618633746,0.27241538674630195
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_NORM_VOCABULARY,ST,425,0.17503689136610762,0.00028797840299653777,0.08126715219691195,0.2657352358697578,0.0007023863487720433
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_NORM_INFORMATION,ST,425,0.18575932939668396,0.00011724141264851896,0.0922668425855808,0.27600516834324723,0.0002931035316212974
MEMORY_ST_NORM_WorMem,LANGUAGE_ST_NORM_PR,ST,425,0.17048772632582462,0.0004152117489477133,0.07660724953434567,0.2613718249427387,0.0009656087184830542
MEMORY_ST_NORM_WorMem,MEMORY_ST_NORM_ImmMem,ST,425,0.08268722492839105,0.08865476761760445,-0.012534199837700348,0.17642242206495212,0.14299156067355556
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_AudImm,ST,425,-0.3058346306761711,1.1841145242558248e-10,-0.3896226224184423,-0.2170254670070088,9.867621035465206e-10
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_VisImm,ST,425,-0.28106322453414134,3.713413365270762e-09,-0.3663904196546055,-0.19104816093268195,2.6524381180505443e-08
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_ImmMem,ST,425,-0.3274968003187895,4.406739454433855e-12,-0.4098517617777153,-0.2398457389866048,6.425610329884006e-11
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_WorMem,ST,425,-0.35197694900507015,7.69901144781783e-14,-0.4326153714896391,-0.2657517581733934,6.2559745709858895e-12
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_AudImm,ST,425,-0.3081339353691744,8.455251986517822e-11,-0.39177366205202985,-0.21944310096594583,7.686592715016202e-10
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_VisImm,ST,425,-0.2893718177054913,1.2130295695614525e-09,-0.37419462344847504,-0.1997471949940352,9.33099668893425e-09
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_ImmMem,ST,425,-0.3314535348020728,2.3466913270661396e-12,-0.41353801483299213,-0.24402449682829774,6.425610329884006e-11
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_WorMem,ST,425,-0.34915074471841445,1.251194914197178e-13,-0.4299925787777055,-0.2627545667451145,6.2559745709858895e-12
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_LogMemI,ST,425,-0.27044524608499276,1.4714853162085681e-08,-0.35639952106826867,-0.17995176084831804,9.196783226303551e-08
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_FacI,ST,425,-0.23831338940440122,6.685748471663005e-07,-0.32604509589615155,-0.14651183519085872,2.4762031376529645e-06
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_VerPairI,ST,425,-0.2694511829551117,1.6689226487818266e-08,-0.35546315828024855,-0.17891408519647717,9.27179249323237e-08
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_FamPicI,ST,425,-0.2569817644823608,7.756449318162448e-08,-0.34370284303069,-0.16591468377267257,3.3723692687662816e-07
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_LetNumSeq,ST,425,-0.3265209392254968,5.1404882526987045e-12,-0.40894219659064596,-0.2388156186878107,6.425610329884006e-11
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_SpaForward,ST,425,-0.20137029066795903,2.8889877811588843e-05,-0.2909205700443442,-0.10832235834449752,7.808075084213201e-05
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_SpaBackward,ST,425,-0.2058769175741602,1.888585148803656e-05,-0.2952183188285485,-0.11296636762382865,5.722985299405018e-05
MEMORY_ST_NORM_WorMem,MEMORY_ST_RAW_SpaTotal,ST,425,-0.26640834120053064,2.4459013841090828e-08,-0.35259586468310977,-0.17573899630918882,1.164714944813849e-07
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_LogMemI,ST,425,-0.27044524608656245,1.4714853159154343e-08,-0.3563995210697471,-0.17995176084995673,9.196783226303551e-08
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_FacI,ST,425,-0.23831338941025262,6.685748467329151e-07,-0.3260450959016958,-0.14651183519692929,2.4762031376529645e-06
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_VerPairI,ST,425,-0.2694511829551118,1.6689226487817796e-08,-0.35546315828024855,-0.17891408519647722,9.27179249323237e-08
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_FamPicI,ST,425,-0.2569817644823608,7.756449318162448e-08,-0.34370284303069,-0.16591468377267257,3.3723692687662816e-07
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_LetNumSeq,ST,425,-0.3265209392116565,5.1404882639072045e-12,-0.4089421965777447,-0.23881561867320228,6.425610329884006e-11
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_SpaForward,ST,425,-0.20137029066795903,2.8889877811588843e-05,-0.2909205700443442,-0.10832235834449752,7.808075084213201e-05
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_SpaBackward,ST,425,-0.20587691757416024,1.888585148803656e-05,-0.2952183188285485,-0.11296636762382868,5.722985299405018e-05
MEMORY_ST_NORM_WorMem,MEMORY_ST_SCALED_SpaTotal,ST,425,-0.2664083412005307,2.4459013841090828e-08,-0.3525958646831098,-0.17573899630918888,1.164714944813849e-07
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_BPrestHigh,ST,423,0.2525750474704437,1.4024036312281696e-07,0.1611072235002496,0.3397409349547241,5.843348463450707e-07
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_BPrestLow,ST,423,0.11235545646473585,0.020816540741307957,0.017191951172494255,0.20550163176889058,0.03756667170366299
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_HRrest,ST,423,-0.05810728443080686,0.23304100918317536,-0.15260944762692774,0.037447871337254884,0.32822677349743007
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_HEIGHT,ST,423,0.037304346932600756,0.4441326918598148,-0.05825052313691117,0.13218187126995243,0.5416252339753839
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_WEIGHT,ST,423,0.03456931523769327,0.4782661867479405,-0.06097935884924794,0.12949018190956774,0.5693645080332626
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_BMI,ST,423,0.02361276702013495,0.6281918643507042,-0.07189678279617305,0.11869321821065434,0.6909024389674417
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_WHR,ST,423,0.2413151935908431,5.090886551199107e-07,0.14940515365650603,0.3290908728777813,2.036354620479643e-06
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_AerobicRating,ST,411,0.20774393167671434,2.184019358269211e-05,0.11328946301575307,0.2984770031429382,6.240055309340602e-05
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_FunctionalReaching,ST,423,-0.19881290823626027,3.820771858869367e-05,-0.2886881152033466,-0.10546444942206289,0.00010054662786498335
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_WorseLegEyeOpen,ST,422,-0.2678771944032335,2.2831448727179696e-08,-0.3542783785410249,-0.1769411889478598,1.164714944813849e-07
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_BestLegEyeOpen,ST,422,-0.14606238881273756,0.0026318680726861157,-0.23820178969327596,-0.051317215587648936,0.005061284755165606
MEMORY_ST_NORM_WorMem,MOTOR_ST_RAW_WorseLegEyeClose,ST,413,-0.23064446558329488,2.168393242445407e-06,-0.3200183353066747,-0.1372017683728499,7.477218077397955e-06
