level,target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_FamPicI,ST,425,0.2978227664734814,3.742522920926635e-10,0.20860979129132723,0.38212023474516416,8.566219130120963e-10
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_LetNumSeq,ST,425,0.4383284042374332,2.213285793395137e-21,0.35813815166800367,0.5120992427011617,2.0724403338154468e-20
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_SpaForward,ST,425,0.3277905677049026,4.206638669090365e-12,0.24015587889583073,0.4101255397724672,1.3976896223106696e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_SpaBackward,ST,425,0.35381309392341076,5.601259973525644e-14,0.26769988468395783,0.4343186316800985,2.3077191090925654e-13
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_RAW_SpaTotal,ST,425,0.42124704108685457,1.0382295363549313e-19,0.33973756007395073,0.49647598007883914,8.225972480350611e-19
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_LogMemI,ST,425,0.3201105787602665,1.394629046770407e-11,0.23205373709987215,0.40296325522307685,3.780178735089462e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_FacI,ST,425,0.3236231835421873,8.094939566136594e-12,0.23575790674349703,0.4062403367885036,2.382225072320198e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_VerPairI,ST,425,0.37579812471601237,1.0546918173788748e-15,0.29108053834750125,0.45466795433682783,4.937875326819278e-15
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_FamPicI,ST,425,0.2978227664734814,3.742522920926635e-10,0.20860979129132723,0.38212023474516416,8.566219130120963e-10
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_LetNumSeq,ST,425,0.4383284042385449,2.2132857928249065e-21,0.35813815166920326,0.5120992427021769,2.0724403338154468e-20
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_SpaForward,ST,425,0.3277905677049026,4.206638669090365e-12,0.24015587889583073,0.4101255397724672,1.3976896223106696e-11
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_SpaBackward,ST,425,0.35381309392341076,5.601259973525644e-14,0.26769988468395783,0.4343186316800985,2.3077191090925654e-13
RAW,LANGUAGE_ST_RAW_SUM,MEMORY_ST_SCALED_SpaTotal,ST,425,0.4212470410868546,1.0382295363549313e-19,0.33973756007395073,0.49647598007883925,8.225972480350611e-19
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_BPrestHigh,ST,423,-0.22157344771400184,4.2062821081617974e-06,-0.31036421354631416,-0.1289500326232175,7.736554591797592e-06
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_BPrestLow,ST,423,-0.10480617301229539,0.03115364833750734,-0.19817349996727843,-0.00955396626168566,0.04519472927835572
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_HRrest,ST,423,0.08462391305407255,0.08213574265970643,-0.010810997351186753,0.1785310802188796,0.11279975325266349
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_HEIGHT,ST,423,0.4446557633291573,6.283543536309517e-22,0.3647733406967779,0.5180401491264433,7.191166491554225e-21
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_WEIGHT,ST,423,0.26676556265906715,2.5240121809338663e-08,0.17589177413434598,0.3531311822172528,5.305576625228331e-08
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_BMI,ST,423,0.04668259232526355,0.3381634430535172,-0.04888266796553568,0.1414008858918404,0.3958049390285485
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_WHR,ST,423,-0.15271169885916455,0.0016326073314797006,-0.24449929622850805,-0.058211621395112816,0.0025870546944986024
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_AerobicRating,ST,411,-0.27860262595750246,9.187389280912253e-09,-0.3654840572570823,-0.1869086727927859,2.013406587093536e-08
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_FunctionalReaching,ST,423,0.40755529378356853,2.337174284468153e-18,0.3248303430118735,0.48409144544649135,1.416052654707175e-17
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_WorseLegEyeOpen,ST,422,0.3018369452799878,2.4456064826046624e-10,0.21249910187073504,0.3861706908650209,5.85808064437861e-10
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_BestLegEyeOpen,ST,422,0.20773677647203037,1.693994756254859e-05,0.11454763571635883,0.2973017750513132,2.9573128795635672e-05
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_WorseLegEyeClose,ST,413,0.32405607683292614,1.492776900105039e-11,0.23490530997143516,0.4078003778461468,3.942462069508179e-11
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_BestLegEyeClose,ST,413,0.5349066348112992,6.070643774355134e-32,0.4622711542528068,0.6004117778728209,3.1263815437928938e-30
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_PegboardDominant,ST,423,0.3281440663648389,4.4677675953681875e-12,0.24031531828063704,0.4106436207827476,1.4380626947591353e-11
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_PegboardNondominant,ST,423,0.30275128574868276,2.0430451463259877e-10,0.21356861265661298,0.386929610598025,5.010325001704208e-10
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_PegboardBoth,ST,423,0.3050898586868757,1.4585285254555936e-10,0.21602629975034043,0.3891182405456214,3.6641082468762474e-10
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_PegboardSum,ST,423,0.3648617954612063,9.138943783125346e-15,0.27922810564010153,0.4447376201903122,4.092657433312655e-14
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_PegboardAssemble,ST,423,0.46485222110045143,4.590872951537532e-24,0.38664148997174413,0.5364241961441129,6.75514162869094e-23
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_SymbolSearch,ST,423,0.5253581446175717,2.1940772826918684e-31,0.4526862812439354,0.5910967929124267,7.532998670575415e-30
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_SymbolCoding,ST,423,0.48937062341737075,7.41408460652784e-27,0.413308043028877,0.5586514299920691,1.527301428944735e-25
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_GripMvcL,ST,423,0.41187061020202725,9.457132027479226e-19,0.3294611693836692,0.4880520435420695,6.088028742689752e-18
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_RAW_GripMvcR,ST,423,0.3990117809740468,1.3488861016478537e-17,0.31567386526581176,0.47624094655778065,7.312382551038364e-17
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_BMI,ST,422,0.06597636538160867,0.17612501694924376,-0.02967120868834344,0.16042667446014344,0.221230204216733
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_WHR,ST,422,0.21702828100285187,6.832454557164479e-06,0.12413946126058173,0.30614634194410106,1.2346365252420023e-05
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_AerobicRating,ST,411,-0.2439191485213798,5.564443786585433e-07,-0.33279798107226516,-0.1507448532267101,1.0813919056949049e-06
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_FunctionalReaching,ST,422,-0.007515440418320114,0.8776639687826676,-0.1029023156373428,0.08800839972359094,0.8862685174962232
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_BestLegEyeClose,ST,413,-0.2528447529053468,1.9119979926816182e-07,-0.3410206382504063,-0.16025852789720038,3.861486142082484e-07
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_PegboardDominant,ST,422,-0.02371738233927302,0.6270800371492627,-0.11890886375095391,0.07190611906341954,0.6728046231913964
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_PegboardNondominant,ST,422,-0.04139117530033505,0.39636813000191295,-0.13631327048282937,0.054284013700326574,0.44863645483733006
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_PegboardSum,ST,422,-0.07108332836664656,0.14490880345736537,-0.16542153371501261,0.024543918772564986,0.18657008445135792
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_PegboardBoth,ST,422,-0.05594827163877401,0.2514582885221428,-0.15060461364774014,0.039724592239957494,0.301165159509078
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_PegboardAssemble,ST,422,0.03376365652540475,0.48910404733095025,-0.0618965427092476,0.12880919166931243,0.5475838790770421
RAW,LANGUAGE_ST_RAW_SUM,MOTOR_ST_NORM_WaisSpeed,ST,422,-0.2686064814392975,2.0843536167846493e-08,-0.3549653855401951,-0.1777023105143138,4.4726754693503926e-08
